ID Post,User Name,Comments,Sentiments
2,العربي نواوي,ممكن نعرف لماذا تنقصو الرصيد والله العظيم عيب عيب عيب تعبئة الف تجد الف عيب حسبنا الله ونعم الوكيل,Negatif
2,Yassine Madrid,فضلكم شريت شريحة جازي جديدة كيفاه تفعيل العلم انترنت مكالمات,Neutre
2,Aoudjia Aimen,ما تطبيق حابس اي اصلاح اصلاح شبكة نعانون وريزو ميت حالا والله ما فهمنا ومفهمتش لماذا فالعالم الثالث السبب الوحيد لا غيره مخلينا فالعالم الثالث انه لا يوجد عالم او,Negatif
2,صاحبة السعادة,علابيها اصبحتم تعبئة تدوهم,Negatif
2,عائشة صديقة,djezzy فضلكم اريد تقطيع الشريحة لتناسب الهاتف الا ممكن شريحتي الحالية يمكن استبدالها اخرى قابلة لتقطيع شرط الاحتفاظ برقمي الحالي,Neutre
2,Youcef Mellah,نسلكو لشهر انترنت ربي يجيب ممكن توضيح,Negatif
2,Mar Lyn,تخدمو الجمعة,Neutre
2,Oussama Chabane,الحل,Neutre
2,Sifoune Soufyane,الرقم خاص ولماذا يتصل,Neutre
2,Mohamed Rakmouche,طريقة فلكسي جازي الى جازي,Neutre
2,Ÿõn És,اصلاح شبكة رحمة والديكم,Negatif
2,Kh Khaled,احتاج انترنت تمشي عادي,Neutre
2,Sid Ali Haciane,شبكة جازي لا يوجد وليدوني لا يوجد,Negatif
2,Àyõub Ĥaňni,اريد طرح شكوا,Negatif
2,Špįrîtûål Wølf,connexion zero service zero,Negatif
2,Teddy Kama,good evening and سعيدة جديدة سنة we were impressed by a brand of telephone it is yotaphone i think you will be too if you bring it back to us here quite simply because this telephone is expressed by these two faces,Positif
3,أبو ياسر,عروض جديدة وقويـة,Neutre
3,ßa Lim,الرجاء وضع خيار خروج الاجهزة الاخرة الحساب تطبيق جازي اب لكي عندما يدخل شخص برقمنا التطبيق كلكم اعملو لايك لكي يشوفو تعليق ويديررونا هاذا لخيار,Neutre
3,يو سف,اي مسابقات الى كوتديفوار دور ثمن نهائي ول,Neutre
3,Walid Taibi,dirolna djezzy win ch al nhabo machi lazem fois f semaine wla rej o,Neutre
3,عبداللطيف عبد اللطيف,اريد نشري لبيست خاص جازي عرض لمليح,Neutre
3,Thầy Kéo Lãi,حب,Positif
3,Mohamed Riyad,fin hmdlh jazt bien djezzy riyad mahrez,Positif
3,كادي بسام,سلام الكونيكسيون عندي ضعيف بزااف التطبيقات ليسو يعمل الا الفيس رسالتكم خاص لم ترد عليا,Negatif
3,Amïne Zērmaņì,djezzy حب حب حب حب,Positif
3,シ シ,ممكن حل مشكلة شبكة ثقيل فلابيس,Negatif
3,سهام الدعاء,تشري شريحة ومنبعد ما لا تفتح مرور ساعات ما افعل,Neutre
3,راني نعاني,انه قريب رمضان يجب افعلو انترنت مجانا,Neutre
3,Ńæbįl Rb,اربح رصيد تعبئة واحوله الى انترنت,Neutre
3,Peniel Kenny Samba,djezzy meilleur meilleur meilleur meilleur meilleur toujours sauf reponds prive,Positif
3,خلاصي محمد الشريف,عندي ميمبا شهر درت شريحة جازي علاجال الكونيكسيو لكن اوريدو فيزوج مكان مكان فالكونيكسيو صح الهضرة حسن لكن انترنت,Negatif
3,Abdo Gros,slvp icho machi chwiya chta trou lzem maintenant lwa ed idir deux puces zid lch connexion trou souviens ya lss chhar wa mat lsch,Negatif
3,Menad Misraoui,افعلو جازيwalk win ماشي يجب خطرة الاسبوع,Neutre
3,Merdaci Abdallah,dirona offres mla nflixci alf fi chehar w mtkfich,Negatif
3,Sofiane Sn,w tach dirulna scan jdid,Neutre
3,Nøüfêl Kø,عروض امتياز,Neutre
3,Bogoosa La Brune,حبسو سرقة سراقين لزنيتي يروحو بدون سبب ما تحشموش تكسبو دراهم لحرام لعنة الله عليكم يجب وقفة احتجاجية ضد جازي السراقين,Negatif
3,Ange Ange,نقصتو كثيرا ليجيقا وزدتو الدراهم كنتو افعلو عروض trop,Negatif
3,نو نو,نخدم بتطبيق جازي,Neutre
3,Hamza Asadullah,كنتو ملاح بديتو تفسدو,Negatif
3,أحمد فيراس,تم,Neutre
3,Gestion Dbms,نريد عروض جديدة,Neutre
3,Fouad Bkm,حولت شبكة izzy الى هايلة كثيرا بالغلط اريد العودة الى izzy افعل,Neutre
4,فاروق فاروق,جازي عام سعيد علينا وعليكم خواتي معها نقدر نعيش شكرا افضل انترنت,Positif
4,Djamel Amer,اسقاس امقاز عامر خير ان شاء الله ملءه الفرح والسرور والخيرات والبركات الهما احمى وطننا الشواءب والغدر والخيانة الهما امين عامر مبارك الجميع,Positif
4,Siradj Din Ben,اسقاس امقاز عام سعيد ملؤه الصحة والهناء ابناء الوطن ويا حبذا لو تكرمت شركة جازي واهدت لزبائنها بونيس احتفاء بهذه المناسبة,Positif
4,داني نور غروس,جازي عام سعيد علينا وعليكم خواتي معها نقدر نعيش شكرا افضل انترنت,Positif
4,Tarek TK,assegas amegas a aussi,Positif
4,Sofiane Aissat,assegas amegas tous,Positif
4,Mo Mahour,assegas amegas,Positif
4,Naouel Messaoui,assegas amervouh inch allah,Positif
4,Cheddad Kada,assegas amegas,Positif
4,Nãïmø Bëdjîh,assegas amegas a djezzy,Positif
4,Djaat Nadir,نتوما ماديروش مسابقة,Neutre
4,Zidane Djebbari,assegas ameggaz,Positif
4,Kamel Fraouti,اسقاس امقاز,Positif
4,Detekl Adz Bensmail Milad,assegas amegase,Positif
4,Brahimi Faiza,عام سعيد جازي,Positif
4,Moh Alger,امين رب,Positif
4,Zara Harmel,امين رب,Positif
4,Принц Князья,جازي افعلو هدة حسن شغل مسابقة ليروح يتفرج ليكيب ناسيونال كاس افريقيا جارتكم موبيلي انتم تسفادو وتفيدو المناصرين معاكم فرح,Positif
4,ياسين ميمز - Yassine mems,نتوما مديرولناش مسابقة,Neutre
4,عبد الحق,عاشت الجزائر عربية مسلمة الى الابد,Positif
4,Ämïnë Mø,ما تطبيق محبش يدخل,Negatif
4,Ďøģ Māðð,تطبيقكم لا يعمل اصلحوه,Negatif
4,فيصل محمد,ياو التطبيق ما راهش يمشي العشية,Negatif
4,Aymen Aymen Minou,regler connexion devenir connexion comme bad,Negatif
4,Aoudjia Aimen,اي اصلاح تطبيق,Negatif
4,Said Sd,سعيدة جديدة سنة,Positif
4,Kassa Slimani,اليوم وغدا,Neutre
5,DzMa Saleh,djezzy رخفو ارواحكم شوية افعلو شيء جديدة,Neutre
5,Far OUk,الاقل افعلو شيء جميل كيما mobilis djezzy نعرفكم تقدرولها افعلو مسابقة,Neutre
5,Ahm ED,ان شاء الله,Neutre
5,Laila Meziane,inch allah,Positif
5,Yasmine Djahed,احسن عرض فالعالم حب حب حب حب حب حب حب حب حب حب حب حب حب حب حب حب حب عرض مذهل بكل والله كنت حاسة بلي جازي رح تخرج بهدة المنافسة القوية شفناها الشركات الاخرى برافو جازي الاصل والباقي تقليد حب حب حب حب حب,Positif
5,Sam Sam Ber,nouveau djezzy,Neutre
5,Viaggio Tour,وشنو الشالنج,Neutre
5,Tifa Mehdi,حب,Positif
5,Anis Kami,النور عندي مشكلة الرصيد تاعي انه ينقس وحدو رغم اني ماني نعيط ما ني نشري رصيد انترنت زوج خطرات انا تعبئة مدة نلقاه توجور هبط وحدو الى كنت تعبئة ما عنديش لمشكل ولا ما نفيقش ارجو حل شكرا فرح,Negatif
5,Jilali Binamer,اصلاح الا شبكة وحسنو العروض فقط,Negatif
5,Sa,واللي عنده special او confort يقدر يبدل legend,Neutre
5,Brahim Yamine,طريقة تشغيل شريحة جازي هايلة جديدة وماهي المدة لكي يطلقوها البائع قالي نصف ولكن لا شيء جديد,Neutre
5,Chafia saadi sport dz,افعلو هدة نتوما تاني وابعتو انصار المنتخب الوطني الجزائري لكوديفوار لكي يضغطوا المنافسين,Neutre
5,Abdou Khelif,immigration wela puce jdida,Neutre
5,Safaa Amri,سقمولنا التدفق خاص انترنت مبعد ابدعوا فالعروض خاص لواحد تقول فالعصر الحجري kb ps,Negatif
5,لازهاري بن علي,لوكان تريقلو شبكة ننطمو للعرض,Negatif
5,Kamel Trad,يمكن التحويل الى عرض legend,Neutre
5,BLIDA fox 24,ابعتونا لكوديفوار زكارة موبيليس فرح,Neutre
5,Kh Fateh,american legend,Neutre
5,Lä Přįnçěssë,غضب غضب djezzy app pourquoi arret reseau na,Negatif
5,Mah Di,اي مسابقات نوض اتحرك ضحك,Neutre
5,Amel Nina,شبكة انترنت ماكانش نظن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif
6,عامر ڨرڨاط,يعطيكم الصحة جازي ربي بارك فيكم,Positif
6,حمة غريب,يعطيكم صحة,Positif
6,صدى الجهوي الثاني قسنطينة,عندي جازي نورمال نقدر نستفيد العرض,Neutre
6,Abdelkader Mährez,حسن حسن جازي حسن,Positif
6,Fadli Abdelkader,top,Positif
6,Møhamëd Elazïzï,يعطيكم الصحة,Positif
6,محمد محمد,ربي يحفظكم نتمنى عروض افضل,Positif
6,Амин Салем,يمكن التحويل جازي سبيال وشكرا,Neutre
6,Midia Midia,خدمو وربي يوفقكم حب,Positif
6,Amâri kánari,شريحة جازي عندها سنة عندي احسن شبكة مشكورين,Positif
6,العامرة في القلب,يعطيكم الصحة,Positif
6,Tahar Brague,عجبتني sui,Positif
6,صدى الجهوي الثاني قسنطينة,يعطيكم صحة,Positif
6,Kamel Fraouti,حب,Positif
6,Serine Mesbah,حب حب,Positif
6,ᎥᏚᏞ ᎯᎷ,خير ان شاء الله,Positif
6,Gustavo Gaviria,لماذا مرة يجب نشرو شريحة جديدة افعلو التحويل العرض,Neutre
6,Gestion Dbms,انا عندي منفرد نقدر نستفيد العرض,Neutre
6,ياسين ميمز - Yassine mems,لماذا مديروهالناش بـ فقط مجرد اقتراح,Neutre
6,Younes Bzd,نشري شريحة الف افعل بعروض منعرفش شيء اسمها عرض,Neutre
6,Salah Boufenara,ما كمش تحشموا رواحكم ديرونا مسابقة موبيلس,Neutre
6,Zizou Bouallegue,ديرونا هدة كيما موبيليس والكل يسافر الى كوديفوار لتشجيع المنتخب,Neutre
6,رضوان رضوان,عرض امتيازات,Neutre
6,Bouyazd Yazda,افعلو جاست ابعثونا للكوت ديفوار كيما دارت موبيليس,Neutre
6,Abdou Abdou,المشكل راهو نوعية الخدمة ماشي الكمية يعني بالدارجة الكونكسيو خردة ما ديرنا لا يوجد ملاحظة مكان الاقامة العاصمة زعما,Negatif
6,الفتى المتواضع,مكان لا انترنت ولاهم يحزنون,Negatif
6,Sali Mrzk,اكبر سراقين العالم نتوما صحاب جازي يابن عمي بكري يكفيك شهر ضرك تنحو رجعتها كانت زعما يمدولك الحقيقة مايفوتش شهر انتهاء راكم تحوسو نوالو نفليكسو سراقين وتحيا mobilis,Negatif
6,Amel Nina,شبكة انترنت ماكانش نظن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif
6,Mondher Boughalem,عرض روعة حب حب لكن ناقصة شوية ديروها احسن,Positif
6,Faress Oran,سلام عليكم جازي احترامي ولكن الشبكة كميل بوهران كارثية بمعنى الكلمة نعاني ضعف الشبكة ونقص الانترنت لدرجة معدومة المهم لاي يريد شراء شريحة جازي تفكير مرة شرائها,Negatif
6,Lila Kenn,نتوما جازي اكبر سراقين فالعالم مانفليكسي خاص شهر تدوهالي يوم سراقين,Negatif
6,ßa Lim,سراقة سرق فدراهم,Negatif
6,Islame Gh,افشل شبكة,Negatif
6,أيوب منتصر,شبكة اجيزي شبكة سقموهلنا الرحمة الوالدين نفليكسو مرانا نديرو بيها لا يوجد اصلاح روحكم فريزو والعرض ساهلين ساع وشكرا,Negatif
6,Youcef Ait Belkacem,veuillez regler couverture reseau apr faites offre voulez er a prendre,Negatif
6,صلاح الدين,انا ومتخلصش كارثة انترنت المشكل ماش كمية انترنت المشكل سرعة تدفق انترنت,Negatif
6,قاسم بن محي الدين,غالي,Negatif
6,حمزة فريد,عروض مغرية ولكن للاسف التغطية لا توجد,Negatif
6,Ahç Enĕ,تقدم عرض ولا زوج ولا خدمة رديئة متعامل سيء شغل دراهم تعبئة راني نلقاهم طريق خافوا ربي سبحانو,Negatif
6,Maache Yasser Nedjmeddin,علبيها شبكة لا يوجد والكونيكسيون مايتة دراهمنا خلاصتو بيهم رياض محرز الاشهار,Negatif
6,Djaafar Djaafar,لماذا ماحبيتوش تحشمو وتقادرو رواحكم الريزو ماكانش لاكونيكسو عيانة تقول فكرون يتمشى الخدمات سيئة وبالمعرفة كرهنا الشكاوي عيب عليكم ومانيش محتاج تقول ارواح للخاص,Negatif
6,Hamid Karimia,تغطية نتاعكم ناقصة كثيرا عروض الا مقنعة,Negatif
7,سطيفtv,شكرا لطاقم djezzy المجهودات المبذولة المعجبين,Positif
7,ألجزاإري لمتواضع,اتمنا نجاح وتوفيق وسعاده لعام لجديد عام سعيد وكل عام وانتم بخير وشكر,Positif
7,Izmir Turk,بالتوفيق للجميع ان شاء الله,Positif
7,Saad Nabile Bagua,meilleur reseau algerie appels internet vive djezzy,Positif
7,Ńæbįl Rb,جازي اتمنى التوفيق الدائم حب حب ان شاءلله,Positif
7,العامرة في القلب,بالتوفيق,Positif
7,محمد لعكرمي,رائع جدا مشاركات ومسابقات,Positif
7,Abed Selli,جازي legend شريحة جديدة,Neutre
7,Mahi Kassis,نقدر نحول جازي هبال لعرض جازي legend,Neutre
7,Prĩęn Cêssë,مازالت كاينة djezzy انا عندي بصح ماعدتش نستعملها لا شبكة لا انترنت لا شيء حسن غالي,Negatif
7,Boyosef. TV,دعمونا,Neutre
7,Saad Zergot,اريد التحويل الى العرض الجديد legend,Neutre
7,Yanise Yanise,استطيع تحويل جازي هايلا الى جازي,Neutre
7,Khaled Nemouchi,اليوم انترنت صفر لماذا نخسروا دراهمنا لكي يكون الاداء والله عيب وحرام عليكم يجب محاسبة المتسبب وتعويض العملاء,Negatif
7,Dalila Bett,دايما الوقت لغايه ال الليل الكونيكسيو تولي تروح وعلاش ناكتيفو نحبسوها خير,Negatif
7,Yass Ine,لكان تفرحونا فالخدماا بارح راحتلي gنحاوهالي وصراتلي خطرة,Negatif
7,Samir Koussa,اسوا متعامل اسوا خدمة نعيطولكم اكثر ما كانش يرجع,Negatif
7,عبد الله الجزائري,عندي ما بغاوش يمشيو لماذا djezzy,Negatif
7,Amine Jijel,نقدر نحول منفرد لجازي legend,Neutre
7,ادم ادم,سعر شريحة جازي legend,Neutre
7,Habib Charif,ماهو عرض هبال ارجو الافادة فضلكم الاخوة الكرام جازي,Neutre
7,Salah Belkhir,a possibilite migrer vers cette offre,Neutre
7,عبد الرحمان عبدو,التغطية منعدمة نستفيد,Negatif
7,Hocine Jo Ker,الكونكسيو حالة,Negatif
7,Alya Alya,سعر الشريحة فضلكم,Neutre
7,فاروق فاروق,خواتي جازي متوفر عندي عرض خاص شرحتي,Neutre
7,Abdelbassat Chefa,سومة,Neutre
7,فردوس جنة,يحطلنا العروض فضلكم شحال,Neutre
7,Arab Amar,جازي بكري كانت حسن بصح ذروك صبحت تسرق بدون شفقة ولا رحمة هلكوني بسريقات والخدع اخر مرة جازي باي باي active illimite djezi fait active a sanctionner sans appel jrs sous pretexte doivent alors solde avant activation encore malgre ca marche jusqu a vide solde leurs escroquerie dommage temp deposer plainte contre cette flagrante escroquerie,Negatif
8,Amine Ben,الاحسن الشرائح تستطيع الاستفادة العرض ليس جازي هبال فقط,Neutre
8,زين الدين ابن البوادي,والمدة الزمنية المحددة للمكالمات والانترنت الشريحة الجديدة,Neutre
8,Yacine Yacine,autre puce juste choix a faire menus forfait legende,Neutre
8,سفيان سفيان,تخفيض اسعار,Negatif
8,فضاء أخبار وتطبيقات العالم الرقمي,الشبكة عندنا ضعيفة لا انترنت ولا مكالمات تواصلنا معكم وقمنا بالاجراءات الكتابية طلبتموها لكن لا حياة لمن تنادي,Negatif
8,المتوكلة على الله,dima تعبئة مية ولا مية وعشرين تقعدلي انترنت الا ايام ولا ربعة لم افهم لماذا ضرك اي راحتلي والله عييت لنفليكسيها تروح نتمنى تردو,Negatif
8,Tifa Mehdi,حب,Positif
8,مغيث بالله,لماذا تم الغاء عرض امتياز,Neutre
8,Nacer Nacer,اريد معرفه المزيد جازي هبال فضلكم,Neutre
8,Karim Pharm,سلام عليكم ممكن تغير العرض الجديد دون تغيير الرقم,Neutre
8,Blg Mohamed,يوجد زوج عروض خاص والثاني السؤال سرعة انترنت نفسها,Neutre
8,Morkane Abderraouf,تذبذب انقطاع تام لشبكة الانترنت مناش نطلبو عليكم ريقلوها,Negatif
8,Salah Belkhir,comment migrer vers cette offre,Neutre
8,Saddam Djalal,اريد تحويل عرضي djezzy special الى djezzy legend افعل,Neutre
8,Rachid RS,سلام عليكم جازي نقدر نبدل جازي منفرد الى جازي ليجوند,Neutre
8,Abdnr Madrid,يمكنني تحويل عرض djezzy hayla bazaf الى legend,Neutre
8,Føũdî Mõhámèd,نقدر نحول جازي هيلة جازيelgend,Neutre
8,Fatah Kamla,رقم نقدر افعل العرض,Neutre
8,BE Moh,ارقام موجودة,Neutre
8,Louis RI,عندي شريحة استطيع تحويلها,Neutre
8,Amine Bien Aime,مالقري معيتني بصح نبقى نعشق جازي حب حب حب,Positif
8,أحمد فيراس,تحيا الجيزي هبال,Positif
8,Lux zawali,تصويرة خاص محرز نشريها عليكم,Neutre
8,Zenati Omar,انتهاء بسرعة انترنت لماذا,Negatif
9,Ahm ED,مميز,Positif
9,أحمد فيراس,حب,Positif
9,محمد بوطرفة,نرجو ان يكون العرض الشرائح جازي لكي لا نضتر لتغير الرقم مرة,Neutre
9,Toufik Tfk,يرجى اتاحة التغيير الى الشريحة دون شراء واحدة جديدة ورقم جديد,Neutre
9,Amine Belhadj,المشكل خاص انترنت جازي بطء المساء تبغي تتفرج بيها مباراة لا تعمل,Negatif
9,JIJEL TV,انترنت جازي تقول تمشي بالفحم ولاية جيجل,Neutre
9,Rachid Bouteraa,انترنت ضعيفة جدا شراءح جازي,Negatif
9,Mou Ssa,اصلاح شبكة,Negatif
9,Malik Bouzaréah,يرجى اتاحة التغيير الى الشريحة دون شراء واحدة جديدة ورقم جديد,Neutre
9,Hidous,a tizi ouzou lotissement salhi kadem ya ni reseau appeler idem internet a a agence djezzy nouvelle ville tizi ouzou,Negatif
9,عصام عصام,شبكة جازي ناقص كثيرا لا يوجد تغطية كثيرا اماكن,Negatif
9,Abderrazak Charif Charif,djezzy توجد شريحة,Neutre
9,MeGhni KhaLid,سلام يمكن تغيير جازي منفرد الى ليجاند,Neutre
9,Khadhir Hireche,تسقمو شبكة تاعكم افعلو عروض جدد,Negatif
9,Sami Patchee,شبكة جازي لا يوجد,Negatif
9,Ali Alidi,سلام عندي جازي كونفورت اريد تحويلها الى جازي لوجند,Neutre
9,Däh Mãn,تقدر نرجعها hayla bezzef لdjezzy legend,Neutre
9,زواڨي بومدين,عندي عرض منفرد نقدر نبدل,Neutre
9,Mohamed Mohmed,الرجاء المساعدة تشغيل العرض فضلكم,Neutre
9,أمهاتي سر سعادتي,كيفاه نبدل جازي منفرد لعرض اخر,Neutre
9,Abdeldjabar Boudab,der nbdel mn spiciel legend wela non,Neutre
9,Guidouche Chorouk,نبدل ايضا لعرض اخر,Neutre
9,Mohamed Said,لا يوجد الريزو,Negatif
9,طواهري مختار,رجعولنا عرض امتياز,Neutre
9,Abderrahmen Chibani,cbon premier a declancher cette offre formidable,Positif
9,Tóùk Mohamd,نطالب باعطاء حق تبديل izzy الى الانواع الاخرة,Neutre
9,Megherbi Mohamed,كفاش نبدل ايضا لعرض اخر,Neutre
10,Yasser Barbeche,تحيا جازي,Positif
10,Řø Ziĺã Përlã,جازي حب,Positif
10,Assil Bou,salem voulais recharger djezzy veux internet veux unites faire svp,Neutre
10,فايزة ميهوبي,تم,Neutre
10,Ahm ED,صحيح,Neutre
10,Yasser Barbeche,جازي,Neutre
10,Rafif Rafif,enfin,Neutre
10,ۦۘ ۦۘ ۦۘ ۦۘ,تحيا جازي حب,Positif
10,Khaled Rami,مطلوب حضور شخصي لاخراج شريحة ضاعت بنفس الرقم,Neutre
10,Soheib Bhz,كيفية شحن الالعب طريق جازي بسعر رخيص,Neutre
10,Younes Meftah,نتائج مسابقة جازي win,Neutre
10,Radouan Radouan,لماذا سرق العباد الف عام وانا ندبر ومبعدا نتم تاخذون,Negatif
10,مالك مهدي,ولله حرام عليكم انا زبون لديكم اسكن وسط مدينة باتنة الاشارة منعدمة وليست ضعيفة ارجوا اتخاذ الاجراءات اللازمة,Negatif
10,Radhwane Guerra,ردو علينا الخاص,Negatif
10,Faress Oran,سلام عليكم جازي احترامي ولكن الشبكة كميل بوهران كارثية بمعنى الكلمة نعاني ضعف الشبكة ونقص الانترنت لدرجة معدومة المهم لاي يريد شراء شريحة جازي تفكير مرة شرائها,Negatif
10,Røsā Dänã,سلام شريت شريحة جيزيlegende هدرة وانترنت شبكة طالع بصح متهدرش دوني مبغاوش يطلعولي,Negatif
10,Amel Nina,شبكة انترنت ماكانش نظن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif
10,Amel Nina,شبكة انترنت ماكانش نظن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif
10,Abdelouahed Chachoua,تعبئة,Neutre
10,Comptabilité et analyse financière,travaux comptabilite analyse financi re comptabilite analyse financi re,Neutre
10,RB FOOT,اخبار الرياضة الجزائرية تجدونها,Neutre
10,Kayo Chenchedy,قول قول,Neutre
11,Kilouna Khtouna,اشهر يعني الشهر قليلة كثيرا,Negatif
11,Youcef Nj,تعبئة الف يعطوك,Neutre
11,Saddik Abbes,مليون,Neutre
11,Sou Ma,عندي سؤال رقم عيطولي ومرفدتش خاص الرقم عندو معلومة يقولي فرح,Neutre
11,Benaziza Mouad,مزال العرض متوفر,Neutre
11,Khaled EL Walid,ودي اطلقولي امتياز خاص,Neutre
11,Farid Halim,ما لا يوجد شبكة,Negatif
11,Pãpãtï Hâÿåtï,جازي خيان فلكسيت ديميل خونولي الف غضب,Negatif
11,Adda Adda,رحت شركة جازي غليزان حبيت نبدل شريحة هايلة كثيرا لlegend قالي ماتقدرش يجب تشري وحدة جديدة مشيت وهران لكي حولتها صفر معاملة,Negatif
11,Yass Ine,الخدمات تاعكم ولات تعيي كفاش البارح اخلاصتلي انترنت,Negatif
11,Amel Nina,شبكة انترنت ماكانش نظن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif
11,مستغفرين تائبين,ياولدي فريق غلبان وانتم قلقالين,Neutre
11,Rafik Raffaoui,mochkil tchdlk mois,Neutre
11,Yougourta Youba,شبكة ضعيفة انترنت ضعيفة,Negatif
11,وحيدة ابي,num ro service,Neutre
11,Benaziza Mouad,مزال منتج متوفر,Neutre
11,Yassine Tranquilo,عرض تافه يعطوك لجيغا ما يلحقش الشهر الاول يخلاصو,Negatif
11,Faress Oran,سلام عليكم جازي احترامي ولكن الشبكة كميل بوهران كارثية بمعنى الكلمة نعاني ضعف الشبكة ونقص الانترنت لدرجة معدومة المهم لاي يريد شراء شريحة جازي تفكير مرة شرائها,Negatif
11,Sou L King,انا عندي مشكلا كنفليكسي يدولي دراهم اريد نتاكد الاشتراكات اراهم يدولي فدراهم,Negatif
11,Comptabilité et analyse financière,travaux comptabilite analyse financi re comptabilite analyse financi re,Neutre
11,غانم غانم,السلام عليكم جازي ما نوع المودام كبير صغير بطارية,Neutre
11,Abdel Rahim Gouasmi,نقدر نركب شريحة عادية مودام,Neutre
11,Ahmed Rami,ممكن استفسار,Neutre
11,Ïncõ Nnū,غالي كثيرا,Negatif
12,Røsā Dänã,سلام شريت شريحة جيزيlegende هدرة وانترنت شبكة طالع بصح متهدرش دوني مبغاوش يطلعولي,Negatif
12,Îl Hâm,مايهديكمش ربي تطلقولنا شبكة راهو كارثة لا يوجد هاد ايام,Negatif
12,Far Ouk,مالها انترنت البارح,Neutre
12,Omar Blidi,يوجد عروض خاص انترنت,Neutre
12,Kat Zen,اكبر سراقين ابخس تغطية خاص جازي متحشموش الا جاوبو فقط يبرد جنونو فيكم رايحة نشري موبيليس الاقل عندهم تغطية مشي حالتكم,Negatif
12,Faress Oran,سلام عليكم جازي احترامي ولكن الشبكة كميل بوهران كارثية بمعنى الكلمة نعاني ضعف الشبكة ونقص الانترنت لدرجة معدومة المهم لاي يريد شراء شريحة جازي تفكير مرة شرائها,Negatif
12,RB FOOT,اخبار الرياضة الجزائرية تجدونها,Neutre
12,Sherin Mon,مبغيتوش تحشمو خلو الا الاف كثيرا علينا,Negatif
12,Toumi Youssef,السلام عليكم ورحمة الله وبركاته ديرولن عرض legend اصحاب الدفع البعدي,Neutre
